Date,Num_Wallets_Filtered,ETH_Filtered_Pct
2020-08-01,1884,0.25991297
2020-09-01,2045,0.26992887
2020-10-01,2222,0.27589613
2020-11-01,2376,0.27229357
2020-12-01,2412,0.26282737
2021-01-01,2504,0.2701341
2021-02-01,2550,0.27009365
2021-03-01,2669,0.27197495
2021-04-01,2906,0.28983256
2021-05-01,3016,0.2977161
2021-06-01,3172,0.29745913
2021-07-01,3212,0.29979062
2021-08-01,3322,0.29816273
2021-09-01,3587,0.3076045
2021-10-01,3822,0.30477175
2021-11-01,4135,0.30518523
2021-12-01,4618,0.30620822
2022-01-01,4762,0.31276438
2022-02-01,4985,0.31002545
2022-03-01,5049,0.3121788
2022-04-01,5061,0.31134313
2022-05-01,5052,0.31225276
2022-06-01,5109,0.31487247
2022-07-01,5150,0.3109411
2022-08-01,5138,0.32887444
2022-09-01,5125,0.33535266
2022-10-01,5174,0.339991
2022-11-01,5177,0.3444724
2022-12-01,5193,0.32578915
2023-01-01,5146,0.32061154
2023-02-01,5149,0.3289759
2023-03-01,5206,0.33718202
2023-04-01,5193,0.33707952
2023-05-01,5243,0.34655344
2023-06-01,5197,0.36243603
2023-07-01,5182,0.36255616
2023-08-01,5162,0.37313664
2023-09-01,5189,0.38183296
2023-10-01,5114,0.38688034
2023-11-01,5100,0.39757976
2023-12-01,5060,0.40248302
2024-01-01,5038,0.41424534
2024-02-01,5046,0.42148075
2024-03-01,5016,0.43337297
2024-04-01,4849,0.44952467
2024-05-01,4908,0.457615
2024-06-01,4832,0.45824784
2024-07-01,4784,0.4618099
2024-08-01,4711,0.47079554
2024-09-01,4668,0.4743787
2024-10-01,4623,0.47858068
2024-11-01,4589,0.4862114
2024-12-01,4541,0.48929784
2025-01-01,4487,0.49062598
2025-02-01,4421,0.4963885
2025-03-01,4396,0.49801484
2025-04-01,4344,0.5046649
2025-05-01,4304,0.5089573
2025-06-01,4259,0.5121735
2025-07-01,4233,0.5154944
2025-08-01,4176,0.51292014
