Date,Count_Left,Count_Right
2020-08-01,3180875,1977
2020-09-01,3329692,1927
2020-10-01,3497178,1918
2020-11-01,3615380,1948
2020-12-01,3600328,1991
2021-01-01,3658493,1959
2021-02-01,3860323,1997
2021-03-01,4208304,2008
2021-04-01,4539599,1966
2021-05-01,4812408,1984
2021-06-01,5176433,2071
2021-07-01,5196147,2071
2021-08-01,5380956,2060
2021-09-01,5588896,2043
2021-10-01,5712690,2062
2021-11-01,6045730,2060
2021-12-01,6325231,2067
2022-01-01,6485803,2077
2022-02-01,6863662,2067
2022-03-01,6984375,2045
2022-04-01,6702249,2085
2022-05-01,6888445,2084
2022-06-01,6783429,2067
2022-07-01,6955328,2069
2022-08-01,6353011,2062
2022-09-01,6196163,2104
2022-10-01,6113524,2055
2022-11-01,6248606,2029
2022-12-01,6410067,2067
2023-01-01,5114647,2082
2023-02-01,5105777,2074
2023-03-01,5128104,2084
2023-04-01,5107301,2111
2023-05-01,5128384,2099
2023-06-01,5165894,2043
2023-07-01,5108483,2027
2023-08-01,5113074,1988
2023-09-01,5103445,1947
2023-10-01,5052387,1945
2023-11-01,5050245,1915
2023-12-01,5101131,1900
2024-01-01,5137889,1885
2024-02-01,5212296,1874
2024-03-01,5172667,1848
2024-04-01,5170644,1854
2024-05-01,5155839,1846
2024-06-01,5160213,1860
2024-07-01,5151415,1855
2024-08-01,5132282,1819
2024-09-01,5195373,1814
2024-10-01,5230349,1797
2024-11-01,5279415,1782
2024-12-01,5211691,1823
2025-01-01,5191209,1842
2025-02-01,5218595,1850
2025-03-01,5242350,1857
2025-04-01,5275652,1821
2025-05-01,5236843,1828
2025-06-01,5244064,1857
2025-07-01,5248217,1895
2025-08-01,5185517,2061
